timestamp_sec,avg_ear,is_blinking_frame,blink_count_total,blink_rate_bps
0.074,0.2506,0,0,0.0000
0.291,0.2620,0,0,0.0000
0.309,0.2582,0,0,0.0000
0.325,0.2666,0,0,0.0000
0.341,0.2637,0,0,0.0000
0.358,0.2615,0,0,0.0000
0.379,0.2665,0,0,0.0000
0.395,0.2628,0,0,0.0000
0.410,0.2586,0,0,0.0000
0.424,0.2669,0,0,0.0000
0.440,0.2654,0,0,0.0000
0.456,0.2628,0,0,0.0000
0.472,0.2624,0,0,0.0000
0.487,0.2616,0,0,0.0000
0.503,0.2617,0,0,0.0000
0.519,0.2592,0,0,0.0000
0.536,0.2591,0,0,0.0000
0.552,0.2577,0,0,0.0000
0.568,0.2645,0,0,0.0000
0.584,0.2632,0,0,0.0000
0.599,0.2646,0,0,0.0000
0.615,0.2633,0,0,0.0000
0.631,0.2687,0,0,0.0000
0.647,0.2632,0,0,0.0000
0.662,0.2620,0,0,0.0000
0.678,0.2593,0,0,0.0000
0.693,0.2628,0,0,0.0000
0.710,0.2638,0,0,0.0000
0.725,0.2668,0,0,0.0000
0.741,0.2607,0,0,0.0000
0.758,0.2585,0,0,0.0000
0.773,0.2627,0,0,0.0000
0.789,0.2627,0,0,0.0000
0.805,0.2614,0,0,0.0000
0.819,0.2626,0,0,0.0000
0.834,0.2621,0,0,0.0000
0.849,0.2607,0,0,0.0000
0.864,0.2616,0,0,0.0000
0.881,0.2679,0,0,0.0000
0.897,0.2678,0,0,0.0000
0.911,0.2679,0,0,0.0000
0.927,0.2659,0,0,0.0000
0.942,0.2572,0,0,0.0000
0.958,0.2632,0,0,0.0000
0.973,0.2660,0,0,0.0000
0.990,0.2619,0,0,0.0000
1.005,0.2630,0,0,0.0000
1.022,0.2590,0,0,0.0000
1.037,0.2682,0,0,0.0000
1.052,0.2611,0,0,0.0000
1.067,0.2714,0,0,0.0000
1.082,0.2651,0,0,0.0000
1.098,0.2636,0,0,0.0000
1.113,0.2630,0,0,0.0000
1.128,0.2597,0,0,0.0000
1.144,0.2620,0,0,0.0000
1.160,0.2705,0,0,0.0000
1.176,0.2642,0,0,0.0000
1.192,0.2652,0,0,0.0000
1.207,0.2741,0,0,0.0000
1.223,0.2728,0,0,0.0000
1.238,0.2679,0,0,0.0000
1.254,0.2670,0,0,0.0000
1.270,0.2633,0,0,0.0000
1.285,0.2715,0,0,0.0000
1.301,0.2709,0,0,0.0000
1.316,0.2669,0,0,0.0000
1.332,0.2720,0,0,0.0000
1.347,0.2272,0,0,0.0000
1.363,0.2394,0,0,0.0000
1.379,0.2369,0,0,0.0000
1.395,0.2412,0,0,0.0000
1.411,0.2441,0,0,0.0000
1.426,0.2488,0,0,0.0000
1.442,0.2491,0,0,0.0000
1.458,0.2465,0,0,0.0000
1.475,0.2497,0,0,0.0000
1.491,0.2472,0,0,0.0000
1.507,0.2442,0,0,0.0000
1.524,0.2459,0,0,0.0000
1.541,0.2472,0,0,0.0000
1.563,0.2504,0,0,0.0000
1.579,0.2475,0,0,0.0000
1.599,0.2460,0,0,0.0000
1.614,0.2425,0,0,0.0000
1.631,0.2472,0,0,0.0000
1.651,0.2527,0,0,0.0000
1.671,0.2492,0,0,0.0000
1.689,0.2582,0,0,0.0000
1.707,0.2539,0,0,0.0000
1.724,0.2567,0,0,0.0000
1.742,0.2623,0,0,0.0000
1.760,0.2678,0,0,0.0000
1.780,0.2672,0,0,0.0000
1.796,0.2650,0,0,0.0000
1.815,0.2585,0,0,0.0000
1.833,0.2642,0,0,0.0000
1.851,0.2514,0,0,0.0000
1.869,0.2590,0,0,0.0000
1.885,0.2606,0,0,0.0000
1.903,0.2555,0,0,0.0000
1.919,0.2573,0,0,0.0000
1.934,0.2607,0,0,0.0000
1.951,0.2600,0,0,0.0000
1.965,0.2567,0,0,0.0000
1.981,0.2616,0,0,0.0000
1.996,0.2664,0,0,0.0000
2.011,0.2657,0,0,0.0000
2.027,0.2703,0,0,0.0000
2.043,0.2653,0,0,0.0000
2.059,0.2658,0,0,0.0000
2.074,0.2707,0,0,0.0000
